id,neighborhood,house_style,lot_area,gr_liv_area,total_bsmt_sf,garage_area,year_built,year_remod,overall_qual,overall_cond,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,distance_to_downtown_km,school_rating,crime_index,median_income_area,has_pool,noise_1,noise_2,noise_3,sale_price,true_price_no_noise
597,Suburbia,SplitLevel,7105.0,1658.0,933.0,280.0,1946,1968,2,5,2,2,3,5,1,11.04,6.0,17.7,53.6,False,-0.718,0.577,72.0,290000.0,275075.0
598,Suburbia,SplitLevel,11118.0,2747.0,574.0,0.0,1952,1982,5,1,3,2,6,11,0,9.26,2.0,8.5,67.1,False,-1.256,0.552,6.0,320200.0,333441.0
599,Old Town,SplitLevel,12722.0,2072.0,798.0,301.0,1998,2022,4,3,2,0,3,7,1,4.73,6.0,26.7,84.4,False,0.941,0.018,56.0,312600.0,324719.0
600,Suburbia,1Story,11378.0,1994.0,618.0,424.0,1950,1966,1,9,2,0,3,7,2,1.68,,47.2,62.5,False,-0.876,0.771,91.0,305100.0,295722.0
601,Riverside,2Story,7356.0,1920.0,1074.0,556.0,2019,2026,6,6,3,0,6,8,1,4.14,7.0,0.0,70.3,False,1.288,0.211,98.0,432100.0,411359.0
602,Suburbia,2Story,10557.0,2807.0,2077.0,552.0,1903,1905,6,9,1,0,3,6,0,5.77,4.0,52.5,26.9,True,0.141,0.383,19.0,440500.0,427374.0
603,Old Town,1Story,8327.0,1061.0,1181.0,0.0,1976,1996,7,6,1,2,5,7,1,0.6,,30.8,78.3,False,-0.404,0.647,76.0,295900.0,300287.0
604,Suburbia,2Story,5258.0,2861.0,911.0,251.0,1965,1981,10,4,3,0,2,5,1,5.11,9.0,12.2,72.0,False,-0.502,0.135,93.0,436400.0,448653.0
605,Old Town,SplitLevel,10254.0,1748.0,671.0,368.0,1956,1976,8,4,1,1,6,8,0,14.81,10.0,,83.9,False,1.753,0.797,73.0,330900.0,336193.0
606,Suburbia,2Story,8528.0,1077.0,386.0,565.0,1959,1964,8,8,3,2,5,8,1,13.95,2.0,20.2,34.4,False,0.01,0.835,40.0,282600.0,281001.0
607,Suburbia,2Story,20085.0,1436.0,1258.0,602.0,1920,1957,7,3,1,2,5,6,1,11.53,10.0,10.5,62.6,False,-0.504,0.519,13.0,374100.0,375037.0
608,Downtown,2Story,13495.0,942.0,1235.0,516.0,1943,1978,7,6,1,0,2,3,2,3.44,1.0,0.0,85.4,False,0.853,0.365,55.0,381400.0,394135.0
609,Suburbia,2Story,10393.0,2210.0,754.0,652.0,1944,1982,8,10,1,0,6,8,2,0.48,3.0,49.6,58.0,False,0.586,0.252,2.0,405900.0,389988.0
610,Hillcrest,2Story,8841.0,1279.0,1460.0,737.0,1982,2016,7,9,2,0,4,6,2,0.95,9.0,23.8,68.9,False,-0.988,0.724,68.0,439900.0,423696.0
611,Riverside,1.5Story,8581.0,1943.0,959.0,383.0,1975,2002,6,4,3,0,3,8,1,14.78,9.0,27.2,60.6,False,0.005,0.341,41.0,388700.0,365426.0
612,Suburbia,1Story,5703.0,2474.0,1275.0,0.0,1951,1962,8,3,3,1,2,4,0,0.4,3.0,,61.1,False,-1.809,0.81,6.0,332400.0,352981.0
613,Old Town,1Story,4409.0,1480.0,1074.0,418.0,1965,1969,10,7,1,0,2,3,1,6.95,9.0,36.1,89.0,False,-0.033,0.732,70.0,353500.0,363504.0
614,Old Town,SplitLevel,5971.0,1703.0,876.0,623.0,1972,1997,5,7,2,2,5,6,1,1.12,1.0,3.8,42.4,False,0.314,0.353,41.0,300600.0,297448.0
615,Hillcrest,1Story,7969.0,1133.0,549.0,573.0,1905,1943,3,8,3,1,3,5,0,0.91,4.0,48.5,67.1,False,0.448,0.229,50.0,299800.0,299693.0
616,Suburbia,1.5Story,3878.0,1636.0,889.0,144.0,2011,2025,5,1,3,0,6,10,1,2.7,1.0,64.7,72.5,True,-0.999,0.358,28.0,281900.0,287442.0
617,Suburbia,1Story,6697.0,3266.0,1304.0,305.0,2012,2026,1,6,2,1,3,7,2,4.69,6.0,45.1,84.9,True,-0.739,0.342,43.0,407000.0,417630.0
618,Hillcrest,2Story,7430.0,2278.0,737.0,265.0,1945,1951,4,1,1,2,2,3,2,2.96,,17.7,65.8,False,0.247,0.957,16.0,370000.0,382300.0
619,Downtown,1Story,7515.0,1704.0,1135.0,175.0,1995,2006,9,10,2,1,6,7,1,0.72,7.0,5.5,85.4,False,1.25,0.627,18.0,466900.0,441865.0
620,Downtown,SplitLevel,6428.0,1514.0,495.0,601.0,1950,1976,1,9,3,0,5,7,2,6.59,6.0,17.0,67.0,False,0.092,0.658,66.0,318800.0,336408.0
621,Suburbia,1Story,7190.0,1827.0,1278.0,791.0,1908,1928,9,8,1,1,4,7,0,2.42,2.0,37.1,70.2,False,-0.558,0.284,83.0,367500.0,386757.0
622,Riverside,2Story,14815.0,1922.0,1081.0,419.0,2009,2026,6,3,2,1,6,9,1,7.59,7.0,63.5,69.5,False,0.97,0.364,16.0,359300.0,374011.0
623,Old Town,1Story,10216.0,1620.0,445.0,597.0,1933,1947,4,8,3,0,5,8,0,3.39,4.0,19.8,79.8,False,0.129,0.466,16.0,312300.0,309926.0
624,Riverside,SplitLevel,6660.0,2142.0,856.0,698.0,1945,1976,5,5,2,1,2,5,0,1.62,7.0,22.0,77.8,False,0.179,0.977,58.0,390900.0,394258.0
625,Old Town,1.5Story,7912.0,1326.0,1341.0,493.0,1972,1984,9,7,2,0,4,5,2,28.0,2.0,55.4,48.0,False,0.798,0.668,55.0,297300.0,292166.0
626,Hillcrest,1Story,8023.0,1323.0,421.0,0.0,1955,1961,2,3,3,2,6,11,2,5.49,6.0,26.3,71.9,False,-0.096,0.154,39.0,265500.0,274281.0
627,Suburbia,SplitLevel,6193.0,2054.0,500.0,,1933,1956,6,5,2,2,5,6,1,7.74,5.0,69.3,77.7,False,-0.933,0.991,98.0,322500.0,321428.0
628,Downtown,1.5Story,6191.0,1207.0,921.0,546.0,2000,2021,3,9,1,2,5,7,1,0.82,8.0,32.0,94.3,False,-0.155,0.269,97.0,377900.0,376832.0
629,Riverside,1Story,11541.0,2251.0,1846.0,600.0,1944,1967,6,2,2,2,2,3,1,4.27,10.0,58.4,49.8,False,1.112,0.622,63.0,427700.0,408198.0
630,Suburbia,2Story,6996.0,1842.0,,534.0,1974,1974,8,4,1,0,4,4,2,6.01,10.0,42.7,77.7,False,1.893,0.875,90.0,398200.0,376198.0
631,Old Town,2Story,5524.0,845.0,1158.0,528.0,1983,1999,10,3,3,1,2,6,0,13.4,4.0,49.1,61.7,False,-1.219,0.616,45.0,289600.0,291444.0
632,Suburbia,SplitLevel,7982.0,1910.0,,452.0,2017,2020,3,2,1,1,5,7,1,2.36,7.0,31.5,71.5,False,1.637,0.926,0.0,331700.0,321165.0
633,Downtown,1Story,8445.0,923.0,702.0,205.0,1960,1992,7,4,3,2,3,6,0,2.01,7.0,32.8,48.7,False,-0.367,0.848,10.0,311200.0,309170.0
634,Hillcrest,1Story,4062.0,2231.0,1018.0,0.0,1959,1962,5,7,1,0,3,5,2,4.2,9.0,43.4,67.8,True,0.02,0.035,81.0,397000.0,387444.0
635,Downtown,1Story,7988.0,1713.0,762.0,254.0,2015,2026,6,1,3,0,4,9,0,28.0,9.0,51.0,73.7,False,1.7,0.687,12.0,346400.0,341638.0
636,Downtown,2Story,10980.0,2868.0,800.0,0.0,1960,1962,2,3,1,0,2,3,0,6.45,1.0,45.5,50.5,False,-0.41,0.721,16.0,365400.0,356321.0
637,Suburbia,SplitLevel,9489.0,2439.0,252.0,581.0,1937,1962,9,9,3,1,5,10,2,0.88,9.0,,94.1,False,-0.274,0.372,68.0,456700.0,446144.0
638,Suburbia,2Story,17684.0,1267.0,940.0,278.0,1905,1918,2,3,2,2,4,5,2,16.87,5.0,40.2,40.2,False,-0.643,0.91,47.0,252600.0,247392.0
639,Suburbia,SplitLevel,12555.0,739.0,1328.0,,1940,1944,1,4,1,2,4,7,2,10.39,10.0,21.9,77.7,False,0.038,0.801,24.0,268000.0,266265.0
640,Suburbia,1Story,13455.0,1435.0,974.0,,1924,1938,8,7,1,1,5,8,1,13.63,7.0,24.1,24.3,True,0.312,0.367,81.0,354300.0,341410.0
641,Suburbia,2Story,21591.0,1178.0,1408.0,0.0,1938,1939,5,8,1,0,5,6,0,0.55,4.0,44.2,63.4,False,-0.687,0.223,71.0,302600.0,304253.0
642,Suburbia,2Story,10566.0,2854.0,1194.0,265.0,1968,1996,1,10,1,2,6,6,2,3.43,3.0,69.0,76.6,False,1.45,0.213,28.0,364800.0,371912.0
643,Downtown,SplitLevel,8579.0,1844.0,,588.0,1966,2001,7,2,2,1,2,4,2,7.83,10.0,30.4,80.8,False,-0.747,0.221,20.0,399500.0,418774.0
644,Lakeside,2Story,11394.0,2363.0,686.0,336.0,1923,1936,3,8,1,0,4,5,2,5.03,2.0,74.5,66.1,False,0.498,0.589,73.0,394900.0,389610.0
645,Suburbia,2Story,6663.0,1693.0,746.0,153.0,1958,1976,10,8,3,1,2,6,1,10.52,1.0,13.1,63.7,False,0.027,0.643,23.0,356000.0,347395.0
646,Suburbia,1.5Story,8414.0,1751.0,332.0,543.0,1957,1962,10,2,3,2,3,5,1,25.25,2.0,59.6,78.2,False,1.244,0.149,24.0,301100.0,322419.0
647,Downtown,1Story,6459.0,1832.0,838.0,313.0,1905,1924,6,9,2,2,4,5,2,17.01,6.0,43.6,85.1,False,-0.804,0.549,88.0,383400.0,391021.0
648,Riverside,1Story,9314.0,2459.0,1011.0,511.0,1935,1973,5,4,1,2,2,5,2,3.25,,39.2,92.8,False,0.573,0.25,87.0,416700.0,407425.0
649,Suburbia,2Story,6450.0,2021.0,1670.0,0.0,1991,2013,5,5,3,2,4,9,1,7.05,6.0,62.7,44.8,False,2.421,0.91,97.0,321300.0,323113.0
650,Downtown,SplitLevel,6371.0,1268.0,1172.0,573.0,1902,1937,7,8,3,1,6,10,0,2.99,9.0,22.3,64.4,False,-1.442,0.856,43.0,393400.0,392668.0
651,Hillcrest,2Story,9365.0,2742.0,587.0,489.0,1937,1968,10,6,1,1,2,5,1,14.45,3.0,60.6,28.5,False,-0.901,0.116,72.0,410900.0,399618.0
652,Old Town,2Story,7722.0,1689.0,345.0,120.0,1959,1964,7,3,1,0,3,6,0,3.62,1.0,30.8,43.4,False,2.084,0.252,19.0,253200.0,254543.0
653,Suburbia,1Story,4127.0,1599.0,863.0,521.0,1920,1922,1,4,2,1,3,7,1,1.08,4.0,22.2,55.3,True,-0.134,0.945,99.0,293500.0,288725.0
654,Lakeside,2Story,4869.0,500.0,1291.0,414.0,1981,1995,2,8,1,2,6,9,1,0.88,7.0,8.5,83.6,False,0.114,0.299,5.0,338100.0,351440.0
655,Suburbia,1Story,5423.0,2199.0,857.0,687.0,1990,2026,7,2,2,2,5,6,0,8.78,8.0,66.7,59.3,False,-0.332,0.816,85.0,353700.0,349326.0
656,Hillcrest,2Story,5949.0,1906.0,1178.0,0.0,1942,1948,4,5,2,2,2,6,1,9.1,1.0,57.8,62.8,False,1.654,0.05,60.0,305800.0,322404.0
657,Suburbia,2Story,9368.0,1905.0,874.0,581.0,1929,1930,5,8,3,0,5,10,0,1.54,9.0,25.4,73.4,False,-1.614,0.388,93.0,259300.0,381359.0
658,Hillcrest,1Story,8748.0,1628.0,1251.0,0.0,1997,2026,5,9,2,0,2,3,0,1.48,6.0,45.9,55.9,False,1.237,0.615,68.0,327300.0,333540.0
659,Riverside,SplitLevel,11765.0,1534.0,279.0,334.0,1927,1935,6,9,2,2,5,6,1,10.35,5.0,37.5,32.1,True,-1.478,0.4,19.0,311100.0,304328.0
660,Hillcrest,2Story,10546.0,1647.0,1624.0,456.0,1918,1932,3,4,2,2,3,5,2,2.15,3.0,27.9,54.6,False,-1.567,0.791,68.0,361200.0,360539.0
661,Lakeside,2Story,11792.0,2105.0,483.0,,1904,1935,1,2,3,1,5,10,2,3.35,10.0,54.3,65.8,False,-1.087,0.98,74.0,368200.0,377973.0
662,Old Town,SplitLevel,10026.0,2202.0,1283.0,674.0,1911,1915,3,10,3,2,4,9,2,7.63,2.0,22.5,76.4,False,-0.128,0.514,49.0,374100.0,363208.0
663,Lakeside,SplitLevel,8720.0,1723.0,836.0,435.0,2009,2016,7,6,3,2,5,9,0,2.51,5.0,0.0,64.3,False,-0.714,0.464,58.0,417000.0,413008.0
664,Downtown,1.5Story,11906.0,2372.0,901.0,264.0,2017,2026,7,5,1,0,3,6,0,0.55,5.0,40.2,76.1,False,-0.774,0.705,40.0,436500.0,423573.0
665,Hillcrest,2Story,11179.0,1807.0,849.0,328.0,1968,1968,9,10,2,1,4,5,2,6.55,6.0,36.3,84.6,True,-0.928,0.754,26.0,434300.0,445309.0
666,Suburbia,1Story,9243.0,1573.0,1057.0,614.0,2016,2026,2,8,1,1,6,9,0,1.56,3.0,23.1,88.2,False,-0.91,0.06,61.0,345200.0,327456.0
667,Suburbia,2Story,12643.0,1959.0,1142.0,0.0,1989,2011,2,5,2,2,6,10,1,5.65,10.0,,71.1,True,-0.933,0.438,50.0,372800.0,353265.0
668,Old Town,2Story,3565.0,1102.0,1395.0,425.0,1951,1960,2,2,3,1,4,9,1,1.74,4.0,3.8,47.5,False,0.235,0.5,3.0,270000.0,258712.0
669,Hillcrest,1Story,7320.0,1978.0,1541.0,630.0,1989,2014,6,1,1,0,6,7,0,9.26,8.0,27.7,45.6,False,-0.636,0.307,75.0,386000.0,380012.0
670,Hillcrest,1Story,7281.0,1002.0,1089.0,314.0,1952,1965,6,6,1,1,2,4,1,9.9,7.0,17.5,47.3,False,-2.665,0.759,23.0,315400.0,309305.0
671,Downtown,1Story,12130.0,1285.0,1670.0,120.0,2021,2026,2,2,2,1,5,7,2,6.09,3.0,54.3,48.7,False,-0.037,0.887,4.0,299100.0,295029.0
672,Riverside,1Story,14045.0,740.0,989.0,324.0,2007,2024,5,4,3,2,5,8,2,0.65,10.0,45.3,69.8,False,0.749,0.845,25.0,289300.0,306262.0
673,Old Town,2Story,4878.0,1754.0,1403.0,499.0,2006,2026,1,7,3,0,3,8,1,9.59,5.0,25.3,102.0,True,-0.279,0.634,89.0,350900.0,358312.0
674,Suburbia,1Story,13279.0,2735.0,1130.0,0.0,1966,1976,7,1,2,2,3,6,1,7.71,7.0,45.5,71.8,False,-1.261,0.794,77.0,376800.0,378114.0
675,Riverside,1.5Story,5378.0,1786.0,719.0,210.0,1965,1999,6,10,2,0,4,8,0,2.93,7.0,32.9,66.5,False,0.745,0.233,42.0,339500.0,352230.0
676,Hillcrest,SplitLevel,5435.0,2204.0,1026.0,623.0,1914,1925,1,5,1,0,5,6,0,3.18,6.0,29.6,85.3,False,-1.373,0.026,44.0,391900.0,374154.0
677,Old Town,1Story,7465.0,3144.0,1161.0,486.0,1982,2002,1,9,2,1,5,6,2,12.03,7.0,33.9,53.1,False,-0.321,0.513,42.0,374100.0,367942.0
678,Riverside,1Story,7249.0,2072.0,936.0,522.0,1914,1946,8,2,1,1,5,5,2,16.42,6.0,70.4,86.8,False,-0.022,0.41,4.0,401700.0,379658.0
679,Downtown,2Story,4696.0,1429.0,1123.0,,1968,2005,9,5,1,2,5,7,2,2.22,8.0,47.9,85.4,False,1.079,0.882,35.0,436900.0,427082.0
680,Hillcrest,2Story,10173.0,1505.0,1313.0,252.0,1916,1946,9,10,2,1,6,8,0,13.6,5.0,29.0,69.1,False,0.578,0.789,89.0,379400.0,396701.0
681,Downtown,1.5Story,10278.0,1850.0,940.0,508.0,1959,1986,6,7,1,0,6,7,1,9.44,9.0,52.9,105.7,False,0.238,0.382,62.0,447800.0,431593.0
682,Lakeside,2Story,11718.0,1502.0,0.0,605.0,1998,2026,6,9,2,1,4,5,1,4.6,6.0,52.2,88.1,True,0.931,0.017,38.0,410400.0,416018.0
683,Downtown,1Story,6962.0,1543.0,1655.0,642.0,1938,1954,9,7,3,2,2,7,2,7.08,10.0,40.2,68.8,False,-1.158,0.275,98.0,465700.0,448824.0
684,Hillcrest,1Story,7992.0,2392.0,825.0,0.0,1975,2003,9,8,3,2,3,5,1,9.27,6.0,28.4,65.4,False,1.58,0.36,7.0,426200.0,407571.0
685,Suburbia,2Story,8017.0,2414.0,604.0,542.0,1932,1955,10,4,3,0,2,6,0,1.33,6.0,27.1,60.2,False,-3.065,0.676,86.0,422500.0,405802.0
686,Hillcrest,2Story,14630.0,944.0,478.0,182.0,1937,1958,4,5,1,1,4,5,2,5.45,5.0,13.5,65.6,False,1.428,0.903,41.0,310000.0,296733.0
687,Hillcrest,1Story,3005.0,1400.0,809.0,458.0,1923,1935,5,1,3,2,6,11,0,10.16,4.0,38.6,66.2,False,-0.841,0.221,50.0,312000.0,306645.0
688,Old Town,SplitLevel,5797.0,1595.0,714.0,307.0,1920,1934,1,3,3,0,4,8,2,1.83,8.0,22.8,62.2,False,0.38,0.786,94.0,257000.0,257146.0
689,Suburbia,1Story,8119.0,2179.0,640.0,0.0,1946,1951,2,1,2,1,6,7,1,2.08,7.0,26.3,64.1,False,1.448,0.729,93.0,311600.0,288244.0
690,Riverside,1Story,5542.0,2479.0,664.0,641.0,1915,1944,4,4,1,1,4,6,0,3.46,4.0,47.5,46.5,True,0.561,0.353,80.0,365300.0,361940.0
691,Hillcrest,2Story,7403.0,3336.0,1172.0,0.0,2012,2012,9,8,3,0,4,6,1,1.02,9.0,68.7,57.8,False,0.372,0.016,52.0,471000.0,475723.0
692,Old Town,1Story,7753.0,1594.0,1803.0,453.0,1993,1997,5,3,1,2,2,4,1,2.5,2.0,42.5,39.2,False,0.866,0.033,59.0,294400.0,288976.0
693,Lakeside,2Story,6437.0,1621.0,1295.0,500.0,1927,1939,6,5,2,0,5,6,1,7.69,1.0,32.9,75.5,False,-1.48,0.619,90.0,421500.0,407306.0
694,Hillcrest,1Story,8288.0,2174.0,1421.0,604.0,2011,2016,9,6,2,0,3,6,0,20.68,7.0,34.6,69.4,False,-1.33,0.847,75.0,445200.0,431454.0
695,Old Town,1.5Story,10096.0,1475.0,791.0,192.0,1946,1976,5,2,3,0,4,7,2,21.35,5.0,57.8,65.8,False,0.271,0.632,30.0,239500.0,252955.0
696,Riverside,1Story,7460.0,1772.0,994.0,120.0,1966,1971,4,9,3,1,6,9,0,1.67,8.0,42.8,84.0,False,-0.198,0.774,51.0,367400.0,354057.0
697,Suburbia,2Story,6915.0,1622.0,1129.0,466.0,1988,2006,8,8,3,1,3,8,0,19.04,7.0,38.9,52.5,True,-0.313,0.503,81.0,370700.0,362173.0
698,Riverside,2Story,7646.0,500.0,673.0,120.0,1997,2026,4,2,2,2,6,8,1,4.39,8.0,40.3,55.2,False,1.238,0.263,80.0,234000.0,238239.0
699,Suburbia,2Story,8082.0,1918.0,771.0,,1900,1924,4,1,1,2,6,6,0,3.07,3.0,6.4,41.3,True,1.151,0.04,29.0,310900.0,321086.0
700,Hillcrest,1Story,4407.0,1750.0,1309.0,555.0,1935,1959,9,1,3,2,2,6,1,3.13,,42.8,86.4,False,-0.921,0.817,84.0,421200.0,403477.0
701,Lakeside,SplitLevel,9524.0,2549.0,1408.0,0.0,1942,1956,5,3,3,2,3,8,1,1.97,3.0,17.5,78.9,False,0.442,0.474,56.0,455200.0,436322.0
702,Hillcrest,2Story,6920.0,1853.0,978.0,360.0,1973,1991,3,2,2,2,6,7,2,12.75,,42.9,91.9,False,-1.564,0.876,33.0,385300.0,365887.0
703,Downtown,1Story,12601.0,1160.0,448.0,486.0,2009,2026,9,1,2,2,4,6,2,2.57,7.0,20.3,96.5,False,-1.588,0.37,49.0,376200.0,392420.0
704,Suburbia,1.5Story,9965.0,1708.0,826.0,0.0,1955,1974,7,5,3,0,5,9,0,3.47,10.0,46.8,60.4,False,-0.893,0.276,44.0,315600.0,318163.0
705,Hillcrest,2Story,12204.0,700.0,345.0,272.0,1958,1986,8,6,1,2,6,6,0,1.0,3.0,31.9,55.2,False,-0.053,0.667,7.0,292400.0,291729.0
706,Riverside,2Story,5688.0,1184.0,,606.0,1911,1944,4,1,3,1,2,7,1,0.9,2.0,12.1,35.7,False,-0.653,0.604,22.0,309800.0,291163.0
707,Suburbia,1Story,7115.0,2200.0,1057.0,504.0,1966,1976,8,6,2,1,5,6,0,11.22,10.0,29.2,48.2,False,0.451,0.704,13.0,384900.0,374945.0
708,Suburbia,1.5Story,5246.0,1714.0,836.0,363.0,1961,1965,10,5,3,1,6,9,2,7.48,6.0,79.1,62.2,False,-0.015,0.091,68.0,335100.0,337870.0
709,Hillcrest,1Story,6331.0,2357.0,,483.0,1980,1998,2,3,1,2,4,6,2,4.5,4.0,0.0,30.9,False,1.114,0.083,41.0,348200.0,346196.0
710,Riverside,1.5Story,12560.0,768.0,1125.0,,2006,2021,2,2,2,1,6,10,1,2.58,4.0,38.3,48.6,False,0.546,0.571,13.0,260700.0,251827.0
711,Old Town,SplitLevel,13638.0,1717.0,1058.0,585.0,1971,1977,6,8,1,2,5,6,2,0.73,9.0,14.8,66.5,False,-1.039,0.548,59.0,371400.0,362162.0
712,Suburbia,1.5Story,5422.0,1588.0,445.0,402.0,1906,1937,8,2,2,0,5,7,1,17.06,8.0,62.5,84.1,False,0.901,0.093,47.0,334600.0,313833.0
713,Suburbia,SplitLevel,6902.0,2376.0,844.0,496.0,2002,2026,1,3,2,0,2,6,1,0.43,2.0,51.3,55.1,False,-0.862,0.43,67.0,312300.0,294275.0
714,Old Town,1.5Story,7890.0,2220.0,1122.0,361.0,1960,1986,6,8,3,1,5,9,2,3.24,4.0,38.7,70.3,False,0.411,0.634,96.0,377300.0,361919.0
715,Suburbia,SplitLevel,9946.0,2203.0,1613.0,0.0,1961,1990,2,7,3,2,6,8,1,8.17,9.0,53.3,101.5,False,-0.492,0.542,98.0,353500.0,362996.0
716,Lakeside,SplitLevel,4377.0,2698.0,836.0,487.0,2010,2026,10,10,2,1,3,7,2,5.93,8.0,39.9,35.5,False,1.324,0.187,46.0,461000.0,469658.0
717,Riverside,1.5Story,4624.0,1648.0,1181.0,317.0,1974,1994,8,1,2,2,2,3,0,1.61,9.0,35.1,87.5,False,0.731,0.928,3.0,371100.0,383388.0
718,Downtown,SplitLevel,9618.0,2584.0,1319.0,588.0,1999,2008,10,2,2,2,4,7,1,11.27,2.0,23.0,74.9,False,-0.693,0.034,6.0,475300.0,470030.0
719,Suburbia,SplitLevel,4096.0,1276.0,867.0,555.0,2010,2026,3,7,2,1,6,10,2,3.63,6.0,27.8,90.8,False,-0.386,0.273,13.0,206800.0,310713.0
720,Old Town,1Story,6930.0,1256.0,1432.0,338.0,1962,2000,8,3,3,2,5,9,2,7.42,1.0,25.7,85.4,False,3.269,0.068,1.0,328200.0,320852.0
721,Riverside,1Story,8576.0,2264.0,1455.0,494.0,2023,2026,4,4,2,0,6,10,0,2.4,5.0,35.2,56.1,False,-1.261,0.283,64.0,382600.0,373439.0
722,Hillcrest,1Story,9372.0,1022.0,1530.0,337.0,1921,1937,2,3,2,0,4,7,0,8.81,2.0,0.0,68.0,False,-0.72,0.685,95.0,303000.0,299928.0
723,Downtown,SplitLevel,7711.0,2165.0,1143.0,203.0,2009,2011,5,9,1,1,4,6,1,7.59,3.0,55.6,41.7,False,-0.671,0.024,75.0,366500.0,355292.0
724,Old Town,1Story,7129.0,1906.0,1941.0,364.0,2006,2026,5,8,2,0,3,4,0,28.0,3.0,73.9,58.6,False,-1.159,0.039,70.0,296500.0,304097.0
725,Downtown,SplitLevel,10890.0,2440.0,692.0,452.0,1912,1935,6,9,2,2,6,7,2,7.2,2.0,26.4,68.5,False,-1.054,0.206,31.0,401400.0,419302.0
726,Downtown,1.5Story,8954.0,1817.0,1842.0,543.0,1919,1950,9,6,3,1,5,9,1,1.93,9.0,58.5,73.5,False,-0.109,0.028,70.0,454500.0,462853.0
727,Lakeside,SplitLevel,6461.0,1881.0,1273.0,484.0,1904,1916,3,5,1,0,5,7,2,0.65,4.0,32.3,82.2,False,0.477,0.39,51.0,412900.0,402151.0
728,Downtown,2Story,8211.0,2130.0,1513.0,605.0,1934,1969,7,6,2,1,6,9,0,6.41,2.0,23.0,96.5,False,-1.593,0.23,36.0,493200.0,470064.0
729,Hillcrest,1.5Story,9266.0,1486.0,816.0,303.0,2024,2026,2,1,2,1,6,7,0,9.53,10.0,27.4,60.2,False,-0.501,0.322,5.0,324000.0,305346.0
730,Riverside,1.5Story,14785.0,1462.0,1305.0,400.0,1915,1915,9,6,2,0,6,7,0,11.1,1.0,36.7,88.6,False,-0.804,0.837,50.0,378700.0,380756.0
731,Hillcrest,SplitLevel,10670.0,2111.0,1549.0,723.0,1904,1927,5,3,1,1,4,4,0,3.39,2.0,,72.8,False,-1.17,0.432,42.0,417900.0,405602.0
732,Downtown,SplitLevel,12396.0,1834.0,493.0,151.0,1957,1976,8,10,1,2,2,3,0,28.0,9.0,47.1,44.5,False,0.996,0.015,55.0,331900.0,348589.0
733,Downtown,1Story,6544.0,1626.0,881.0,388.0,1944,1970,3,2,2,2,4,5,2,5.79,5.0,24.6,65.3,False,-0.765,0.547,46.0,358000.0,338439.0
734,Hillcrest,1Story,6745.0,1804.0,,,1979,1989,4,1,3,2,4,9,2,4.41,4.0,13.5,70.1,False,-1.37,0.109,76.0,320800.0,313833.0
735,Downtown,2Story,7462.0,2727.0,875.0,429.0,1976,1980,10,10,1,2,6,9,1,15.5,4.0,34.6,52.9,False,0.88,0.059,90.0,474800.0,464516.0
736,Suburbia,SplitLevel,7706.0,1606.0,607.0,390.0,2004,2015,2,2,2,2,2,3,1,24.26,6.0,21.1,49.3,False,1.251,0.327,50.0,221300.0,244440.0
737,Lakeside,2Story,5694.0,1590.0,859.0,0.0,1952,1973,6,6,3,0,6,9,0,3.1,4.0,28.5,48.7,False,0.238,0.272,34.0,361700.0,355455.0
738,Hillcrest,1.5Story,12620.0,911.0,2178.0,501.0,1958,1969,4,4,3,1,5,10,2,12.16,1.0,33.9,58.2,False,-0.941,0.112,30.0,353100.0,329717.0
739,Hillcrest,1.5Story,11039.0,1827.0,1671.0,251.0,1902,1921,4,3,3,1,2,5,2,18.15,10.0,8.2,52.4,True,-0.278,0.298,88.0,395600.0,391387.0
740,Hillcrest,1Story,7281.0,2211.0,345.0,366.0,2022,2026,7,5,1,2,3,4,0,2.91,10.0,64.2,90.1,False,-0.655,0.484,53.0,392400.0,393002.0
741,Downtown,2Story,10144.0,2310.0,1183.0,,1926,1954,8,8,1,1,2,3,2,1.76,2.0,51.3,23.9,False,-0.049,0.251,97.0,406400.0,408978.0
742,Downtown,2Story,8761.0,1910.0,1286.0,578.0,1975,1991,5,2,3,2,6,9,1,3.25,6.0,22.4,70.0,False,0.716,0.032,68.0,411200.0,419562.0
743,Suburbia,SplitLevel,10425.0,2376.0,808.0,849.0,2010,2015,7,7,3,2,5,9,1,6.65,5.0,34.6,77.5,False,-0.025,0.893,58.0,410700.0,408954.0
744,Downtown,1Story,5062.0,2252.0,1025.0,572.0,1976,2001,1,9,2,1,5,8,0,18.66,1.0,47.7,50.7,False,-0.004,0.651,5.0,327300.0,341791.0
745,Riverside,2Story,7700.0,2462.0,1066.0,298.0,1978,1986,3,3,3,0,4,8,1,1.11,4.0,39.2,63.8,True,-0.513,0.707,73.0,506700.0,385258.0
746,Riverside,1.5Story,7940.0,2391.0,384.0,445.0,1922,1934,8,7,2,0,4,7,0,11.73,7.0,72.6,61.8,False,0.665,0.408,47.0,386600.0,372244.0
747,Hillcrest,2Story,10080.0,2713.0,517.0,0.0,1989,2017,7,10,3,1,2,5,0,2.12,2.0,30.2,66.6,True,0.368,0.573,10.0,421500.0,426176.0
